dys_date,total_time,billable_time,pma_person_code,comment
2024-12-12,"0,5","0,5",SIWE,Kafka mit Kerberos und Active Directory getestet
2025-02-20,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-02-06,"0,75","0,75",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-02-27,"0,5","0,5",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-03-24,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-03-21,1,1,SIWE,"Fragen zur LDAP-Server-Konfiguration im User-Info-Fetcher beantwortet (E-Mail von Harald Wilkes vom 21.03.2025 zum Thema ""OPA-Regeln debuggen"")"
2025-02-13,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-03-06,"2,5","2,5",SIWE,"Intermediate-Zertifikat gemäß den Vorgaben von AirPlus getestet (E-Mail von Christian Hoffmann vom 06.03.2025 zum Thema ""AirPlus Intermediate CAs für dynamische Zertifikate""); Fragen zur Anpassung der Volume-Größen im Kafka-Cluster beantwortet (E-Mail von Harald Wilkes vom 06.03.2025 zum Thema ""PVCs vergrößern""); Bereitstellung eines angepassten Images für den Secret-Operator; Synchronisationsmeeting zur Einrichtung von Kafka"
2025-02-17,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-01-23,"2,25","2,25",SIWE,Cluster-Konfiguration auf SDP 24.11.1 angepasst
2025-02-24,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-02-21,"1,25","1,25",SIWE,"Fragen zum OPA-Kafka-Plugin beantwortet (E-Mail von Harald Wilkes vom 21.02.2025 zum Thema ""Stackable Kafka SIEM Audit-Logging"")"
2025-01-22,3,3,SIWE,Offene Fragen geklärt
2025-01-30,"3,25","3,25",SIWE,Meeting mit AirPlus; Spezifikation für den Kafka-Exporter erstellt
2025-01-31,"5,25","5,25",SIWE,Probleme mit dem Kerberos-Keytab im Kafka-Exporter analysiert (secret-operator#559); Fragen zum externen Zugriff beantwortet
2024-12-11,"1,5","1,5",SIWE,Kafka mit Kerberos und Active Directory getestet
2025-03-17,"2,5","2,5",SIWE,"Meeting zur Konfiguration des DNS-Alias für den Kafka-Bootstrap-Service (Einladung von Harald Wilkes zum Thema ""Stackable @AirPlus Daily Focus: Kafka - SPN/Kerberos"")"
2025-01-28,3,3,SIWE,Vorbereitung und Meeting mit AirPlus
2025-03-20,1,1,SIWE,Debugging von OPA-Regeln beschrieben (Anfrage von Harald Wilkes im Synchronisationsmeeting)
2025-03-17,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-03-17,3,3,SIWE,"Verwendung eines DNS-Alias für den Kafka-Bootstrap-Service geprüft (E-Mail von Harald Wilkes vom 14.03.2025 zum Thema ""DNS Alias auf LB"")"
2025-01-20,6,6,SIWE,Cluster-Konfiguration für die AirPlus überarbeitet; Meeting
2025-03-17,"0,75","0,75",SIWE,"Verwendung eines DNS-Alias für den Kafka-Bootstrap-Service geprüft (E-Mail von Harald Wilkes vom 14.03.2025 zum Thema ""DNS Alias auf LB"")"
2025-01-21,"6,5","6,5",SIWE,Kafka-Cluster in die DEV-Umgebung installiert
2025-03-10,"1,25","1,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka; Anpassung der Certificate-Lifetimes beschrieben (Anfrage von Harald Wilkes im Synchronisationsmeeting)
2025-03-03,"0,5","0,5",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2024-12-12,"0,5","0,5",SIWE,Kafka mit Kerberos und Active Directory getestet
2025-02-10,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-02-28,"0,5","0,5",SIWE,"Verwendung einer Intermediate-CA im Secret-Operator beschrieben (E-Mail von Harald Wilkes vom 28.02.2025 zum Thema ""Stackable TLS certs"")"
2025-03-20,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-01-23,2,2,SIWE,Meeting mit AirPlus; Kafka mit Kerberos und LoadBalancer getestet (secret-operator#552)
2025-02-03,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-05-15,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-06-12,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-05-26,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-04-28,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-04-17,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
